project_id,baseline_energy_kwh,proposed_energy_kwh,energy_cost_per_kwh,emissions_factor_kg_co2_per_kwh
PRJ-0001,23790534.0,20055883.0,0.092,0.376
PRJ-0002,14995559.0,10918981.0,0.111,0.452
PRJ-0003,17083096.0,14272939.0,0.106,0.495
PRJ-0004,17702534.0,12973994.0,0.113,0.354
PRJ-0005,14865873.0,10160010.0,0.175,0.541
PRJ-0006,10153475.0,7351811.0,0.092,0.4
PRJ-0007,10691233.0,8402606.0,0.117,0.549
PRJ-0008,3126765.0,1913712.0,0.142,0.493
PRJ-0009,1322071.0,761100.0,0.153,0.432
PRJ-0010,5071300.0,4468204.0,0.16,0.403
PRJ-0011,4577556.0,4119911.0,0.124,0.342
PRJ-0012,17789256.0,16191704.0,0.11,0.34
PRJ-0013,11780098.0,6231406.0,0.167,0.465
PRJ-0014,711243.0,388125.0,0.101,0.498
PRJ-0015,7539040.0,6472314.0,0.096,0.529
PRJ-0016,18043910.0,9621747.0,0.111,0.404
PRJ-0017,1981134.0,1720735.0,0.134,0.536
PRJ-0018,13395229.0,9874300.0,0.175,0.388
PRJ-0019,3695059.0,2738595.0,0.156,0.536
PRJ-0020,9611570.0,5357676.0,0.141,0.531
PRJ-0021,19484229.0,18357403.0,0.137,0.356
PRJ-0022,6973293.0,5726787.0,0.152,0.518
PRJ-0023,7540834.0,5248505.0,0.146,0.482
PRJ-0024,4496899.0,4185645.0,0.12,0.482
PRJ-0025,14831531.0,12694570.0,0.098,0.513
PRJ-0026,3565324.0,2693146.0,0.108,0.443
PRJ-0027,23349851.0,13365990.0,0.16,0.437
PRJ-0028,11899200.0,7439116.0,0.147,0.404
PRJ-0029,11993130.0,7138893.0,0.162,0.519
PRJ-0030,6767323.0,4230452.0,0.094,0.527
PRJ-0031,10156237.0,6587364.0,0.171,0.357
PRJ-0032,9510773.0,5574596.0,0.124,0.498
PRJ-0033,7284869.0,4809108.0,0.173,0.383
PRJ-0034,21020829.0,13375542.0,0.144,0.362
PRJ-0035,19120570.0,15817997.0,0.139,0.365
PRJ-0036,13359098.0,11839341.0,0.164,0.452
PRJ-0037,17319974.0,10861858.0,0.146,0.384
PRJ-0038,14885115.0,13203567.0,0.151,0.376
PRJ-0039,5094672.0,2829782.0,0.104,0.343
PRJ-0040,22832834.0,15925380.0,0.144,0.395
PRJ-0041,11905466.0,9703538.0,0.122,0.498
PRJ-0042,3597551.0,1971015.0,0.097,0.325
PRJ-0043,17307341.0,15433694.0,0.102,0.431
PRJ-0044,3935438.0,2887175.0,0.133,0.459
PRJ-0045,17983115.0,16539363.0,0.114,0.331
PRJ-0046,8532138.0,4566501.0,0.159,0.388
PRJ-0047,3039758.0,2148606.0,0.101,0.528
PRJ-0048,1526794.0,925828.0,0.091,0.549
PRJ-0049,11010644.0,9204393.0,0.18,0.516
PRJ-0050,1510866.0,917412.0,0.118,0.359
PRJ-0051,2821177.0,1835880.0,0.136,0.496
PRJ-0052,11880390.0,8040412.0,0.109,0.424
PRJ-0053,23781512.0,12883690.0,0.109,0.359
PRJ-0054,11974390.0,9211465.0,0.126,0.431
PRJ-0055,11877461.0,9233076.0,0.161,0.532
PRJ-0056,11678461.0,7654842.0,0.094,0.522
PRJ-0057,17776613.0,10533988.0,0.165,0.41
PRJ-0058,9816919.0,7976900.0,0.179,0.335
PRJ-0059,9262241.0,6162640.0,0.14,0.527
PRJ-0060,13514297.0,11730728.0,0.122,0.547
PRJ-0061,5079049.0,3642958.0,0.111,0.438
PRJ-0062,8120296.0,5047287.0,0.106,0.372
PRJ-0063,7446516.0,6934653.0,0.119,0.445
PRJ-0064,5808712.0,3716120.0,0.167,0.48
PRJ-0065,13652857.0,13014035.0,0.09,0.431
PRJ-0066,721677.0,388498.0,0.161,0.401
PRJ-0067,1757179.0,1324536.0,0.15,0.377
PRJ-0068,4672321.0,3644451.0,0.092,0.388
PRJ-0069,23252602.0,14951524.0,0.096,0.331
PRJ-0070,12346323.0,9009710.0,0.156,0.379
PRJ-0071,15527080.0,9912900.0,0.151,0.539
PRJ-0072,4458101.0,4113519.0,0.118,0.322
PRJ-0073,11186431.0,7968896.0,0.168,0.487
PRJ-0074,6129544.0,4379143.0,0.109,0.501
PRJ-0075,8543992.0,4698084.0,0.128,0.413
PRJ-0076,619094.0,583542.0,0.1,0.457
PRJ-0077,8468821.0,6442735.0,0.148,0.371
PRJ-0078,19107335.0,13037468.0,0.098,0.474
PRJ-0079,13772106.0,9883846.0,0.106,0.483
PRJ-0080,2963994.0,2748716.0,0.159,0.489
PRJ-0081,7343472.0,5132937.0,0.135,0.433
PRJ-0082,6658249.0,5740965.0,0.15,0.543
PRJ-0083,13680661.0,11956328.0,0.156,0.519
PRJ-0084,12544639.0,7192795.0,0.145,0.452
PRJ-0085,2975480.0,2597443.0,0.108,0.477
PRJ-0086,7058198.0,5365021.0,0.153,0.383
PRJ-0087,23572921.0,14847965.0,0.1,0.537
PRJ-0088,13712309.0,8896289.0,0.114,0.468
PRJ-0089,11910053.0,8533292.0,0.13,0.526
PRJ-0090,15610554.0,9442822.0,0.1,0.386
PRJ-0091,1477295.0,1115418.0,0.1,0.546
PRJ-0092,11202767.0,7696642.0,0.149,0.344
PRJ-0093,9008756.0,5402341.0,0.157,0.442
PRJ-0094,2922433.0,1933597.0,0.123,0.345
PRJ-0095,4691255.0,3178774.0,0.125,0.364
PRJ-0096,12365657.0,9661329.0,0.109,0.496
PRJ-0097,10054230.0,7182115.0,0.137,0.335
PRJ-0098,11763996.0,9243250.0,0.142,0.408
PRJ-0099,14493833.0,9167515.0,0.174,0.364
PRJ-0100,20920894.0,16582125.0,0.094,0.516
PRJ-0101,15142946.0,11428180.0,0.172,0.339
PRJ-0102,6660145.0,4179900.0,0.179,0.397
PRJ-0103,8645946.0,6384093.0,0.121,0.517
PRJ-0104,11956510.0,9699906.0,0.155,0.478
PRJ-0105,3085342.0,1839480.0,0.164,0.482
PRJ-0106,1303896.0,1033176.0,0.149,0.548
PRJ-0107,10761782.0,6331363.0,0.116,0.325
PRJ-0108,8049461.0,4946347.0,0.146,0.473
PRJ-0109,13923635.0,10626420.0,0.169,0.491
PRJ-0110,8539108.0,5519064.0,0.1,0.492
PRJ-0111,3499921.0,3306965.0,0.133,0.484
PRJ-0112,2611950.0,2059493.0,0.092,0.337
PRJ-0113,9409864.0,5471395.0,0.166,0.339
PRJ-0114,17555769.0,12376864.0,0.16,0.498
PRJ-0115,9392243.0,6711289.0,0.094,0.461
