project_id,project_name,building_type,climate_zone,gross_floor_area_m2,num_floors,water_saving_rate,recycled_material_ratio,ieq_score,renewable_energy_rate,site_density_score,leed_total_score,leed_rating,additional_construction_cost_usd
PRJ-0001,Synthetic Green Building 1,Office,2A,80454,24,0.512,0.075,6.99,0.303,7.63,56.8,Silver,5763603.0
PRJ-0002,Synthetic Green Building 2,Healthcare,4A,54070,41,0.378,0.374,10.71,0.01,4.13,62.8,Gold,6572484.0
PRJ-0003,Synthetic Green Building 3,Multifamily,1A,58944,14,0.36,0.418,14.95,0.318,1.68,72.3,Gold,5468806.0
PRJ-0004,Synthetic Green Building 4,Healthcare,5A,76520,19,0.434,0.073,13.4,0.194,7.37,64.7,Gold,6658847.0
PRJ-0005,Synthetic Green Building 5,Healthcare,5A,50209,17,0.425,0.135,11.37,0.024,9.75,68.6,Gold,4682343.0
PRJ-0006,Synthetic Green Building 6,Office,1A,66494,25,0.222,0.103,9.97,0.159,1.15,52.0,Silver,5799299.0
PRJ-0007,Synthetic Green Building 7,Office,2A,71276,20,0.179,0.387,4.17,0.016,7.97,54.6,Silver,6015922.0
PRJ-0008,Synthetic Green Building 8,Multifamily,6A,21079,7,0.269,0.412,14.24,0.176,2.59,82.3,Platinum,2898084.0
PRJ-0009,Synthetic Green Building 9,Education,2A,7081,2,0.295,0.049,4.77,0.059,5.14,57.1,Silver,851349.0
PRJ-0010,Synthetic Green Building 10,Multifamily,3A,27263,12,0.121,0.17,5.48,0.118,5.7,48.4,Certified,1992246.0
PRJ-0011,Synthetic Green Building 11,Multifamily,5A,26018,10,0.271,0.111,11.97,0.098,6.53,52.3,Silver,1506065.0
PRJ-0012,Synthetic Green Building 12,Healthcare,2A,74568,21,0.37,0.227,13.34,0.193,9.91,59.8,Silver,5903080.0
PRJ-0013,Synthetic Green Building 13,Education,3A,77791,56,0.118,0.417,13.05,0.263,7.19,75.3,Gold,11934090.0
PRJ-0014,Synthetic Green Building 14,Retail,5A,2934,2,0.119,0.059,9.2,0.3,4.53,75.5,Gold,277369.0
PRJ-0015,Synthetic Green Building 15,Retail,3A,43732,13,0.137,0.102,6.04,0.105,7.44,60.4,Gold,2626550.0
PRJ-0016,Synthetic Green Building 16,Education,5A,70251,30,0.192,0.235,4.41,0.182,5.2,67.5,Gold,8313801.0
PRJ-0017,Synthetic Green Building 17,Office,1A,13343,3,0.531,0.25,13.79,0.002,4.72,59.1,Silver,1180728.0
PRJ-0018,Synthetic Green Building 18,Healthcare,4A,68258,52,0.063,0.343,15.24,0.119,4.29,70.0,Gold,6099236.0
PRJ-0019,Synthetic Green Building 19,Healthcare,3A,12324,3,0.142,0.214,6.81,0.307,5.44,58.4,Silver,1154821.0
PRJ-0020,Synthetic Green Building 20,Healthcare,6A,41104,26,0.133,0.089,13.96,0.038,3.53,73.0,Gold,4357174.0
PRJ-0021,Synthetic Green Building 21,Education,3A,69858,28,0.287,0.179,8.63,0.278,3.18,52.9,Silver,4724125.0
PRJ-0022,Synthetic Green Building 22,Multifamily,1A,27500,6,0.058,0.442,7.58,0.209,2.34,55.6,Silver,2600308.0
PRJ-0023,Synthetic Green Building 23,Office,6A,30682,20,0.279,0.345,9.81,0.094,4.96,67.9,Gold,3694656.0
PRJ-0024,Synthetic Green Building 24,Healthcare,4A,25470,8,0.131,0.079,4.09,0.249,3.64,40.3,Certified,1255473.0
PRJ-0025,Synthetic Green Building 25,Healthcare,1A,61856,18,0.185,0.369,9.09,0.093,8.53,56.8,Silver,5774626.0
PRJ-0026,Synthetic Green Building 26,Education,5A,23526,9,0.446,0.161,6.29,0.286,8.63,56.7,Silver,2461730.0
PRJ-0027,Synthetic Green Building 27,Multifamily,4A,84212,58,0.142,0.358,12.19,0.026,4.09,68.4,Gold,11593212.0
PRJ-0028,Synthetic Green Building 28,Multifamily,6A,39218,14,0.359,0.035,9.78,0.038,6.57,59.6,Silver,3570957.0
PRJ-0029,Synthetic Green Building 29,Education,5A,41947,16,0.253,0.396,13.99,0.24,9.12,81.0,Platinum,6306000.0
PRJ-0030,Synthetic Green Building 30,Healthcare,4A,44125,11,0.259,0.098,14.31,0.144,4.23,66.7,Gold,4801049.0
PRJ-0031,Synthetic Green Building 31,Healthcare,2A,50559,15,0.458,0.221,7.64,0.047,5.99,66.1,Gold,5566977.0
PRJ-0032,Synthetic Green Building 32,Multifamily,4A,48163,21,0.13,0.308,7.22,0.164,4.99,68.0,Gold,5783028.0
PRJ-0033,Synthetic Green Building 33,Office,2A,44529,32,0.512,0.243,14.8,0.095,6.85,70.3,Gold,5385704.0
