feature,importance
recycled_material_ratio,0.4229370578327744
water_saving_rate,0.2584227550829737
energy_saving_rate,0.18002298161185984
building_type_Office,0.025027679891953012
building_type_Healthcare,0.02083989556395355
climate_zone_6A,0.019721504847528316
renewable_energy_rate,0.014032066173934746
climate_zone_4A,0.010273755712101316
building_type_Education,0.009779464400162691
climate_zone_2A,0.009425036774265686
climate_zone_5A,0.008987015002580447
climate_zone_3A,0.006344317966960984
building_type_Retail,0.004322231493190596
climate_zone_1A,0.003541452940150898
num_floors,0.0031801773462681983
site_density_score,0.0016854909993802094
building_type_Multifamily,0.0012694485789732715
ieq_score,0.00016391252448573235
gross_floor_area_m2,1.6150966578883054e-05
estimated_co2_reduction,7.387102453554749e-06
proposed_energy_kwh,1.0612028774344895e-07
baseline_energy_kwh,7.520953671447886e-08
annual_energy_cost_saving,3.585764561137403e-08
