feature,importance
energy_saving_rate,0.48750589866292937
renewable_energy_rate,0.1721815489417325
recycled_material_ratio,0.1589184949955157
water_saving_rate,0.08511425282694249
building_type_Retail,0.014051377147628179
ieq_score,0.012795433585222957
climate_zone_3A,0.012700908345551995
climate_zone_6A,0.011798468849848828
site_density_score,0.009209507985791067
building_type_Education,0.009141373337229376
building_type_Healthcare,0.008360102183907939
climate_zone_5A,0.004264676125477027
climate_zone_4A,0.0041638012619442544
climate_zone_1A,0.003523770806128193
climate_zone_2A,0.0027222061739585095
building_type_Office,0.0026783654580052486
building_type_Multifamily,0.0007717329155024404
num_floors,7.45597149613221e-05
estimated_co2_reduction,2.3094137880303654e-05
gross_floor_area_m2,3.8572891815370614e-07
annual_energy_cost_saving,2.042299918692173e-08
baseline_energy_kwh,1.1236010524765662e-08
proposed_energy_kwh,9.155914359893938e-09
